method,rate_total,seed,t_fail,node,w_e,gap_next,gap_prev,lb_max,w_clip_floor,w_full,gmax_pre,egap_pre,alive_pre,gmax_peak,t_peak_rel,gmax_first,alive_first,gap_rad_first,floor_first,gap_rad_peak,alive_peak,arc_peak_m,geom_floor,n_concurrent,peak_late,m_nvals,m_shift,m_unstable,isolated,rel_floor,at_floor,above_floor,below_floor,range_aa,c_hops,fd_timeout
baseline,12.0,4,124.3999999999972,8,0.6,0.20000000000042917,6.599999999999625,1.0402505185488666,True,False,1.0897862575273842,0.0449221274841371,22.0,2.0114307322609903,0.34999999999783427,,,,,0.574463273788715,22.0,11.4892654757743,1.9090909090909092,1,False,1,0.0,True,False,1.053606574041471,False,True,False,10.4,1.9919373696405014,0.25
baseline,12.0,4,130.69999999999726,17,0.6999999999995623,0.6999999999995623,4.899999999999679,1.1363230679344496,False,False,1.1879741164769244,0.0848580728915447,23.0,1.7256657247424227,0.24999999999826628,1.7256657247424227,22.0,0.4928489784911365,1.9090909090909092,0.4928489784911365,22.0,9.85697956982273,1.9090909090909092,0,False,2,-1.0,False,True,0.9039201415317452,False,False,True,10.4,1.9919373696405014,0.25
baseline,12.0,4,131.39999999999682,7,1.0000000000003695,1.0000000000003695,0.6999999999995623,1.6052404785661276,False,False,1.681680501354991,0.1631842248805422,22.0,2.019753991156621,0.24999999999886313,2.019753991156621,21.0,0.604308981016791,1.9047619047619047,0.604308981016791,21.0,12.08617962033582,1.9047619047619047,1,False,2,-1.0,False,False,1.060370845357226,False,True,False,10.4,1.9919373696405014,0.25
baseline,12.0,4,137.59999999999692,4,1.1000000000003354,1.1000000000003354,5.199999999999733,1.019185181064808,False,False,1.067717808734561,0.0402931194214528,22.0,1.8892681873381656,0.25000000000017053,1.8892681873381656,21.0,0.5652677198097606,1.9047619047619047,0.5652677198097606,21.0,11.305354396195213,1.9047619047619047,0,False,2,-1.0,False,True,0.991865798352537,True,False,False,10.4,1.9919373696405014,0.25
baseline,12.0,4,139.09999999999724,17,0.6,0.29999999999958504,0.39999999999997726,1.2808922003599463,True,False,1.3418870670437533,0.1874363664098523,22.0,1.409980981379939,0.5500000000002672,1.3158312994582713,21.0,0.3936958041658682,1.9047619047619047,0.4026896266185948,22.0,8.053792532371896,1.9090909090909092,2,True,2,0.0,True,False,0.738561466437111,False,False,True,10.4,1.9919373696405014,0.25
baseline,12.0,4,140.69999999999675,24,0.6,0.49999999999954525,1.299999999999926,1.2525947407006186,True,False,1.31224210930541,0.1449284505771035,22.0,1.8701238472672856,0.35000000000107434,1.8668718962194528,21.0,0.5585667651767885,1.9047619047619047,0.5595397466550462,21.0,11.190794933100925,1.9047619047619047,2,False,2,-1.0,False,False,0.981815019815325,True,False,False,10.4,1.9919373696405014,0.25
baseline,12.0,4,141.1999999999963,3,0.6,0.0999999999999659,0.49999999999954525,1.773866584700911,True,False,1.8625599139359563,0.2274053924757403,21.0,3.079594862130336,0.5500000000016882,2.0937632069115133,20.0,0.6577751109189816,1.9,1.018403431042267,19.0,20.36806862084534,1.894736842105263,2,True,3,-2.0,True,False,1.625341732791011,False,True,False,10.4,1.9919373696405014,0.25
baseline,12.0,4,141.29999999999626,2,1.5,4.300000000000665,0.0999999999999659,1.765543940486159,False,True,1.853821137510467,0.2248366984402589,21.0,3.079884291750718,0.5000000000017337,2.0937632069115133,20.0,0.6577751109189816,1.9,1.0184991436705957,19.0,20.369982873411914,1.894736842105263,2,False,3,-2.0,True,False,1.6254944873128792,False,True,False,10.4,1.9919373696405014,0.25
baseline,12.0,4,146.7999999999963,11,0.6,0.3000000000009493,1.1999999999993634,1.4309492473024825,True,False,1.5062623655815606,0.2334049387265254,20.0,1.733372468738427,0.35000000000292175,1.647169957469605,19.0,0.5447091618526656,1.894736842105263,0.5445550213723447,20.0,10.891100427446894,1.9,2,False,2,0.0,True,False,0.9123012993360143,False,False,True,10.4,1.9919373696405014,0.25
baseline,12.0,4,147.3999999999959,23,1.3000000000008356,1.3000000000008356,0.29999999999867555,1.6160844673170451,False,False,1.701141544544258,0.2936387908665009,20.0,2.2043152516447466,0.20000000000339924,2.2043152516447466,19.0,0.7289537474487444,1.894736842105263,0.7289537474487444,19.0,14.579074948974888,1.894736842105263,2,False,2,-1.0,False,False,1.1633886050347275,False,True,False,10.4,1.9919373696405014,0.25
baseline,12.0,4,150.89999999999662,4,1.5,1.8999999999988688,1.6000000000003638,1.7268104749965305,False,True,1.8090395452344608,0.2623661506752244,22.0,1.801297965323131,0.050000000003450396,1.7017638597324036,21.0,0.509166556179041,1.9047619047619047,0.5144494958895809,22.0,10.288989917791618,1.9090909090909092,0,False,2,0.0,True,True,0.9435370294549733,False,False,True,10.4,1.9919373696405014,0.25
baseline,12.0,4,152.7999999999955,6,0.6,0.100000000000108,1.8999999999988688,1.1901622834319059,True,False,1.249670397603501,0.1576614499828087,21.0,2.116015000497685,0.25000000000505906,2.116015000497685,20.0,0.6647657180449329,1.9,0.6647657180449329,20.0,13.295314360898658,1.9,2,False,3,-1.0,True,False,1.1136921055250975,False,True,False,10.4,1.9919373696405014,0.25
baseline,12.0,4,152.8999999999956,9,0.6,0.3000000000004377,0.100000000000108,1.1651760817887002,True,False,1.2234348858781352,0.153093788412224,21.0,2.116015000497685,0.15000000000495106,2.116015000497685,20.0,0.6647657180449329,1.9,0.6647657180449329,20.0,13.295314360898658,1.9,2,False,4,-1.0,True,False,1.1136921055250975,False,True,False,10.4,1.9919373696405014,0.25
