rate_total,seed,gap_next,cens_1.25_base,cens_1.25_b2,cens_1.25,censW_1.25,d_frac_1.25,cens_1.5_base,cens_1.5_b2,cens_1.5,censW_1.5,d_frac_1.5
24.0,0,1.3000000000003524,True,True,True,True,0.0,True,True,True,True,0.0
24.0,0,1.9000000000000057,True,True,True,True,0.0,False,False,False,True,-0.16666666666666674
24.0,0,1.2000000000003865,True,True,True,True,0.08333333333333337,True,True,True,True,0.0
24.0,0,0.5999999999999943,True,True,True,True,0.0,True,True,True,True,0.0
24.0,0,0.19999999999990337,True,True,True,True,0.0,True,True,True,True,0.0
24.0,0,0.6999999999999176,True,True,True,True,0.0,True,True,True,True,0.0
24.0,0,2.6000000000008328,True,False,True,True,0.0,False,False,False,True,0.0
24.0,0,1.4000000000002757,True,True,True,True,0.1785714285714286,True,True,True,True,0.0
24.0,0,1.4000000000004036,True,True,True,True,0.0,True,True,True,True,0.0
24.0,0,2.199999999999278,True,True,True,True,0.0,False,False,False,True,-0.16666666666666663
24.0,0,2.9000000000004036,False,False,False,True,0.0,False,False,False,True,-0.16666666666666674
24.0,0,0.20000000000104023,False,False,False,True,0.0,False,False,False,True,0.0
24.0,0,4.999999999999801,False,False,False,True,0.033333333333333326,False,False,False,True,0.0
24.0,0,0.4000000000003183,True,True,True,True,0.0,True,True,True,True,0.0
24.0,0,1.299999999999926,True,True,True,True,0.0,False,False,False,False,0.03846153846153855
24.0,0,1.1999999999999602,True,True,True,True,0.0,False,True,True,True,-0.125
24.0,0,3.79999999999977,True,False,True,True,0.0,False,False,False,True,0.0
24.0,0,0.4000000000005173,True,True,True,True,0.0,True,True,True,True,0.0
24.0,0,3.6999999999993634,True,False,True,True,0.0,False,False,False,True,0.0
24.0,0,0.9999999999993747,True,True,True,True,0.25,True,True,True,True,0.0
24.0,0,0.600000000000108,True,True,True,True,0.0,True,True,True,True,0.0
24.0,0,2.3000000000006366,True,True,True,True,0.0,True,False,True,True,0.0
24.0,0,0.5,True,True,True,True,0.41666666666666663,True,True,True,True,0.0
24.0,1,0.40000000000000924,True,True,True,True,0.0,True,True,True,True,0.0
24.0,1,0.40000000000000213,True,True,True,True,0.0,True,True,True,True,0.0
