rate_total,seed,t_fail,node,w_e,gap_next,gap_prev,gap_prev_b,gap_rad_base,gap_rad_b2,alive_pre_base,w_clip_floor,w_full,d_pico,d_gmax_pre,d_egap_pre,d_arco_m,pico_base,pico_b2,pre_base,pre_b2,pre_bar,arco_base,arco_b2,isolated,m_unstable,peak_late,floor_base,floor_b2,rel_base,rel_b2,both_above,any_at_floor,log_ok,dl_pico,dl_pre,dl_egap_pre,l_pre_bar,dl_rel
48.0,1,133.39999999999785,7,1.2999999999991303,1.2999999999991303,0.6000000000001648,0.6000000000001648,0.6737286316240167,0.7726828802201577,20.0,False,False,-0.1920048562508807,0.6180568227882368,0.09243410444210809,-1.9790849719228198,2.1445448405100183,2.336549696760899,2.172095948993757,1.5540391262055202,1.8630675375996386,13.474572632480335,15.453657604403155,False,True,False,1.9,1.894736842105263,1.1287078107947466,1.2331790066238077,True,False,True,-0.08574801838098567,0.33483514714054285,0.2776817188200019,0.6222243430287264,-0.08852194526371074
48.0,1,134.69999999999698,14,0.7999999999994429,0.7999999999994429,1.2999999999991303,1.2999999999991303,0.5254112727699289,0.7243082679884125,19.0,False,False,-0.6850751603653265,-0.7323997581644701,-0.090596296302454,-3.9779399043696717,1.5051924219156902,2.1902675822810167,1.4784066040869808,2.210806362251451,1.844606483169216,10.508225455398579,14.48616535976825,True,True,False,1.8888888888888888,1.894736842105263,0.7968665763083066,1.155974557314981,False,False,True,-0.37510297493299727,-0.40239242983241913,-0.3204344131272425,0.6122659664881482,-0.37201178236332444
48.0,1,135.49999999999642,12,0.6,0.20000000000140972,0.7999999999994429,0.7999999999994429,0.6252352607071678,0.736176081119865,18.0,True,False,-0.3354788192276692,-0.37097718744615005,-0.11636144150648628,-2.218816408253943,1.8906763644010172,2.2261551836286864,1.4753126870249291,1.8462898744710792,1.6608012807480041,12.504705214143357,14.7235216223973,False,True,True,1.894736842105263,1.894736842105263,0.9978569701005369,1.174915235804029,False,True,True,-0.1633413347266709,-0.22430819364902627,-0.4547642191539538,0.5073001851524324,-0.16334133472667084
48.0,1,136.39999999999688,4,0.9000000000013131,0.9000000000013131,0.5999999999996533,0.5999999999996533,0.6979965727229525,0.7242699036346889,19.0,False,False,-0.3016282888558659,-0.3207558059409059,-0.10150713429933383,-0.525466618234729,1.8885232817710111,2.190151570626877,1.8787100501195508,2.1994658560604567,2.0390879530900037,13.95993145445905,14.485398072693778,False,True,False,1.8823529411764706,1.894736842105263,1.0032779934408498,1.155913328941963,False,True,True,-0.14817556048937763,-0.15762914040135179,-0.26187560590269454,0.7125026260666252,-0.14161815994321852
48.0,1,136.39999999999748,25,0.9000000000007162,0.9000000000007162,0.6000000000002501,0.6000000000002501,0.6979965727229525,0.7242699036346889,19.0,False,False,-0.3016282888558659,-0.3207558059409059,-0.10150713429933383,-0.525466618234729,1.8885232817710111,2.190151570626877,1.8787100501195508,2.1994658560604567,2.0390879530900037,13.95993145445905,14.485398072693778,False,True,False,1.8823529411764706,1.894736842105263,1.0032779934408498,1.155913328941963,False,True,True,-0.14817556048937763,-0.15762914040135179,-0.26187560590269454,0.7125026260666252,-0.14161815994321852
48.0,1,139.4999999999975,13,1.299999999999585,1.299999999999585,2.1999999999993065,2.1999999999993065,0.8522651712663709,0.8079454466209421,18.0,False,False,0.12696665856825007,0.19928723300857243,0.07137588098573408,0.8863944929085754,2.441559866977866,2.314593208409616,1.408324501048023,1.2090372680394506,1.3086808845437368,17.04530342532742,16.158908932418843,False,True,False,1.8888888888888888,1.8888888888888888,1.2925905178118116,1.225372875040385,True,False,True,0.053403172603305404,0.1525763040103813,0.4387653638599336,0.26901967152633,0.05340317260330549
48.0,1,140.79999999999708,15,0.6,0.19999999999984652,1.2999999999990166,1.2999999999990166,1.1461768423667138,0.7835456380850867,18.0,True,False,0.9811473275733924,0.1773881312261636,0.053600032338383286,7.252624085632542,3.1011350720420845,2.119987744468692,2.1499998051125333,1.9726116738863697,2.0613057394994514,22.923536847334276,15.670912761701734,False,True,False,1.8823529411764706,1.8823529411764706,1.6474780070223574,1.1262434892489928,True,False,True,0.380357888989139,0.08610936395392965,0.1748887281235032,0.7233396361267582,0.3803578889891389
48.0,1,140.99999999999693,24,0.6,0.4000000000009152,0.19999999999984652,0.19999999999984652,1.1461768423667138,0.7835456380850867,18.0,True,False,0.9811473275733924,0.22968212235981178,0.0628986954943977,7.252624085632542,3.1011350720420845,2.119987744468692,2.0954298218135943,1.8657476994537825,1.9805887606336885,22.923536847334276,15.670912761701734,False,True,False,1.8823529411764706,1.8823529411764706,1.6474780070223574,1.1262434892489928,True,False,True,0.380357888989139,0.11609681388639626,0.21928919369739175,0.6833941543609464,0.3803578889891389
48.0,1,143.399999999998,2,0.6,0.09999999999843112,0.7000000000010118,0.7000000000010118,0.7019235957455496,0.6487982148570692,18.0,True,False,0.15219300549674486,0.39050556007555204,0.02906407228624558,1.062507617769608,2.010862978843347,1.8586699733466023,2.04787994736483,1.657374387289278,1.852627167327054,14.038471914910993,12.975964297141385,False,True,False,1.8888888888888888,1.8888888888888888,1.0645745182111839,0.9840017505952601,False,True,True,0.07870280878915503,0.21157043024307087,0.09188985826427509,0.6166047221624469,0.07870280878915516
48.0,1,144.7999999999969,11,1.0000000000006821,1.0000000000006821,0.39999999999943725,0.39999999999943725,0.6081985744037723,0.6035408133384821,20.0,False,False,0.014084808248356229,-0.3545193552961925,-0.1472302397060151,0.09315522130580511,1.839158380458281,1.8250735722099247,1.3453036531501057,1.6998230084462982,1.522563330798202,12.163971488075447,12.070816266769642,False,False,False,1.894736842105263,1.894736842105263,0.9706669230196483,0.9632332742219047,False,False,True,0.007687765294306148,-0.2339043809667008,-0.498212380712295,0.4203953163201851,0.007687765294306172
