method,rate_total,seed,t_fail,node,w_e,gap_next,n_amostras,area_1.25,frac_1.25,arearad_1.25,arcom_1.25,tclose_1.25,cens_1.25,area_1.5,frac_1.5,arearad_1.5,arcom_1.5,tclose_1.5,cens_1.5
B2,24.0,3,68.70000000000037,8,0.6,0.5999999999999659,12,0.33499924635501394,0.9166666666666666,0.10717963693778719,2.1435927387557436,,True,0.19749924635502172,0.9166666666666666,0.06290995098588843,1.2581990197177686,,True
B2,24.0,3,69.30000000000034,3,0.8999999999998352,0.8999999999998352,18,0.44030553868976574,1.0,0.15160227134201884,3.032045426840377,,True,0.21530553868977853,1.0,0.07421069793122208,1.4842139586244416,,True
B2,24.0,3,70.20000000000017,13,1.5,2.000000000000341,30,0.678772559765842,1.0,0.24857063030292598,4.97141260605852,,True,0.30377255976586354,1.0,0.11125428474161513,2.2250856948323023,,True
B2,24.0,3,74.9999999999999,4,0.9999999999999432,0.9999999999999432,20,0.380536950259261,0.8,0.13283245415043984,2.656649083008797,,True,0.18053695025927233,0.8,0.06301928407067069,1.2603856814134138,,True
B2,24.0,3,75.99999999999984,23,0.6,0.50000000000054,12,0.1545836750186859,1.0,0.05510096112024426,1.1020192224048853,,True,0.026547137469147542,0.4166666666666667,0.009266699116323586,0.18533398232647172,0.299999999997965,False
B2,24.0,3,77.99999999999962,7,0.6,0.20000000000055707,12,0.24678799030801848,1.0,0.073838794032939,1.47677588065878,,True,0.1564108856535856,0.5833333333333334,0.04679802755340741,0.9359605510681481,,True
B2,24.0,3,84.69999999999938,21,0.6,0.10000000000042064,12,0.25176946508036047,0.5833333333333334,0.07431091967601561,1.4862183935203122,,True,0.16426946508036544,0.5833333333333334,0.04847098010103612,0.9694196020207224,,True
B2,24.0,3,84.7999999999998,15,1.199999999999818,1.199999999999818,24,0.687513670590014,0.875,0.20468528109253453,4.093705621850691,,True,0.425013670590029,0.875,0.12648546395772817,2.5297092791545635,,True
B2,24.0,3,89.09999999999921,12,1.5,3.0000000000001705,30,0.6704667763025273,0.8333333333333334,0.20060319037219526,4.012063807443905,,True,0.357966776302545,0.8333333333333334,0.10710340901536157,2.1420681803072315,,True
B2,24.0,3,92.09999999999938,23,0.6,0.5999999999999943,12,0.2670428670108201,0.6666666666666666,0.08389399091947486,1.6778798183894972,,True,0.16704286701082577,0.6666666666666666,0.05247806438357871,1.049561287671574,,True
B2,24.0,3,93.79999999999896,19,1.2000000000002586,1.2000000000002586,24,0.6528907402042462,0.9583333333333334,0.19527404584567326,3.905480916913465,,True,0.3977137558090845,0.8333333333333334,0.11899567747442144,2.3799135494884287,,True
